Feature,Target
 أصلا أبو ريفيوز لم يعد جزء من المقاطعة بعد الأن ، و ذلك بسبب الفيديو الذي نزله عن لعبة أساسن كريد الجديدة أنا فقط أردت الرد عليه لأني رأيت أن هنالك فئة من الغيمرز العرب قد نسوا أمر المقاطعة ,Safe
 ليش ريفيوز و قيمر سناك تبرريهم بنفس اليوم وليش مب من زمان؟ ,Safe
 سبحان الله فجأة مع اعلان اساسن كريد صارت المقاطعة شي غلط وطلعنا احنا الغلط ويوبي زفت مظلومة قول انهم دافعين لك انت وقيمر سناك عشان تدافعوا عنهم ,Safe
 يكرهون عقيدتنا وديننا و بلداننا ولكنهم يحبون أموالنا لذلك جاءوا يلهثون لها ، لم يكلفوا أنفسهم عناء الاعتذار عن تصرفهم العنصري القذر لكنهم لا يرون بأسا في التسويق للعبتهم الجديدة التي تقع أحداثها في بلد عربي وكأن ذلك سيغير قناعتنا عن ,risky
 اكيد كل شخص وله حرية المقاطعه لكن لو مشينا على منطقك هذا كل بطولة نستضيفها من العابهم راح يسوون نفس الشي الي صار في الامارات علشان فئة قذره ولا تستهين بأشخاص مؤثرين وحسابات العاب كبيره مقاطعة لان واضح راح يتأثرون منها، حنا مستمرين ورسالتنا راح توصلهم غصب ,risky
 راح اوقف مع القيمرز العرب و المسلمين ضد شركة يوبيسوفت بسبب حركتها العنصرية الغبية الي خربت سمعتها عند العرب الي كانو من اكبر محبي الشركة لتحسين صورتها امام الغرب بدعم بعض الفئات التي لا تستحق ذكرها و الحديث عنها بسوء لانها تستحق التهميش فقط ,risky
 لا تنسو مقاطعة يوبي زفت راح احذف جميع تغريدات المتعلقة بيوبيسوفت اصلا ما عندي ولا متابع بس امشيها لنفسي ,risky
 والله ياشباب كنت برمي كل سواليف وراي واسحب عليهم بس للأسف صاحبي ارسل لي كلام يوتيوبر منبطح قبل شوي مسوي عقلاني ويقول ماعندي مشكلة مع اللي يبي يقاطع وفي نفس الوقت يقول اللي يتكلمون ويشجعون على المقاطعة يبون تفاعل بس عشان زيادة متابعين يعني دخل بالنوايا مباشرة ,risky
 أجواء اللعبة رهيبة جداً إلا أسطورية بعد لكن لن ننسى يا حركتكم القذرة وعدم تقديم إعتذار حتى هذه اللحظة ,risky
 اي شخص انا اتابعه ينشر اخبار او تغطيه لأي محتوى لألعاب يوبي زفت راح احظره سواء يوتيوبر او غيره، استح على وجهك وخل عندك دم واحترم مبادئك ودينك لاتصير كلب فلوس ومشاهدات مهما كان رأيك عكس رأيي راح احترم وجهة نظرك الى الدين والأخلاق ، زق عليك وعلى وجهة نظرك ,risky
 وصفونا بالهمج وعدم التحضر ومثل الكلاب سوو لعبة عن حضارتنا العربية شركه فاشله في العابها اكيد فاشله في اداراتها ,risky
 مهما كان الهجوم علي ومهما جاني سب انا لازلت متمسك بالعهد وهو ماراح ارضى ولا العب او اسوق لاي لعبة من يوبيسوفت الا ان تقدم اعتذار واضح وصريح لنا عن الظلم الي بدر منهم لان لازم تعرف ان العرب ماهم اغبياء ولا رخيصين ويدنا وحدة وكلمتنا وحدة ,Safe
 اخي تكدر تلعب اللعبه بس قرصنها وحتلعب اللعبه وتضر ,Safe
 بما أن سيرة طلعت للواجهة من جديــــــد ، و وقاعدة تثير في لغـــط نقاطع؟ مــــــا نقاطع؟ هل نحن مقاطعين أصلاً؟ هل يجب أن نحيـــــــي المقاطعة؟ فقط حبيـــت أذكركـــــم برؤيتي المتواضعة للموضوع و وجهة نظري له ,Safe
 خيبة امل يافريق سعودي قيمر المفروض انتم تكونون معنا في المقاطعه وماتغطون اخبار الشركة العنصريه هذي الي تعادي ديننا وقيمنا بترويجها للشذوذ واهانتنا بشكل مستمر ومن اشكال الاهانة ذي ان احداث لعبتها القادمة اساسن كريد ميراج تدور في عاصمة الحضارة الاسلامية بغداد ,risky
 شو دخل بطولة تلغيه عشان خايف على الملونين مب تقول نحن مع التنوع وين كلامهم ,Safe
 الشركة ذي معادية للأسلام بكل معنى الكلمة وتبدا الملاحظات عنها بالترويج للشذوذ في اغلب العابها وخصوصا و الي في شهر يوليو ينشرون حزمة للشواذ وزيادة على هذا الشركة لعبتها القادمة اساسن كريد ميراج احداثها في عاصمة الحضارة الاسلامية بغداد ,risky
 الحمدالله رجع التفاعل ، أستمرو يا شباب الله يسعدكم ويعطيكم العافيه ,Safe
 الى الان الشركة ما اعتذرت ولا اهتمت وراح تستمر حركاتهم الخبيثة ,risky
 عن طريق هذه الحركة تريد أن تحسن سمعتها القذرة فباعتنا واستخدمتنا بإسم نصرة تلك الفئة وإنها مناصرة للعدالة وغيرها من الخزعبلات رغم أن نفس المناصرة للعدالة تحذف تلك الفئة من نسخ الشرق الأوسط على بال إنها ستمر مرور الكرام ,risky
 شركة شركة قذرة و مؤسسينها و اللي يعملون بأدارتها و كل موظفينها أنجاس و لا غرابة أن الشركة ذي فرنسية و الفرنسيين أنجس الدول الأوربية و هم اللي صدّروا الخميني و خبثه لإيران ,risky
 شركه كانت حلوه وتهتم بالعرب والثقافه العربيه الى مجرد شركه زق تلهث عشان مصالحها وحتى ماعتذرو عن كلامهم الغير منطقي عننا ويجون بكل بجاحه هي لعبتنا عن حضارتكم فيها ترجمة ودبلجه زرقوها بالطيب ولا بالغصب الشركه جابت لنفسها أجلها ,risky
 قناة على اليوتيوب مسوين إلغاء المحادثة في البث المباشر ,Safe
 شركة يوبي سوفت كانت من افضل الشركات حتى جاء ذاك اليوم واسائت للعرب من يومها وانا حاذف لانشرهم ودي احمله بس انا انسان لي مبادئي مابيعها برخص لشركة حقيرة فضلت الشواذ علينا ,risky
 تمارس أسلوبا قذرا بكل ما للكلمة من معنى ، تلغي بطولة في بلد عربي بدعوى أن بلداننا متخلفة و لا أمان فيها ، انحيازا لفئة منحرفة ، هذه هي باختصار نظرتهم لأوطاننا و لديننا ومجتمعاتنا ثم تعود بعروض تسويق واعلان للعبة قصتها في الوطن العربي الذي تعنصروا ضده ,risky
 يتعنصرون على العرب والمسلمين وبطريقة قذر، ثم ينزلون لهم لعبة في العراق وينسون كل شيء لا تستغرب بكرة حاطين لك شخصية عربية شا ذة في اللعبة منبطحين للغرب بشكل مقرف، ماصنعت لنفسك قيمة وماقدرت تتمسك بكلامك منتظر الغرب يقدرونك؟ ,risky
 اخخخ المقاطعة تتم بواسطة الاعبين بدون اي دعم إعلامي من مجموعة المنحطين والسفله ال يقودون هذا المجال ، بعضهم عذر لذنب وكان العذر افْبح من الذنب ذاته ,risky
 انا برأيي تسوا سبيس ع تويتر او فيديو ع يوتيوب يجمع بين المؤيد للمقاطعة و اللي ضدها مثلا و و بجانب الاخر و و ع حساب او قناة و نشوف كل الاراء ملاحظة انا مع مقاطعة ,Safe
 لاتشتري من شركة ذي زبالة وإذا عندك لعبة من قبل لهم لاتلعبها ؛ احترام لدينك ومعتقاداتك ووطنك ,risky
 ياخي شركة كلها ألعابهم قلتشات و زود عليه شركة عنصرية ,risky
 الحمدلله ماقد شريت منهم ولا بشتري ,Safe
 احس بالعار و القهر ان من يمثلني كلاعب عربي مجموعة من المنبطحين الي نسخة مجانية تنسيهم مبادئهم اتمنى يرجع الجيل الذهبي لهذا المجتمع الجيل الي جعل الشركات تعرب اللعاب تفتح سيرفرات في منطقتنا و تعتذر لنا اذا غلطت على دينا او على ثقافتنا كعرب ,risky
 ناس كتير بتتكلم عن اساسن كريد الجديدة ،و بتروج لتسريبات ،او اخبار رسمية خلونا مننساش إن يوبيسوفت أهانت مجتمعنا و بالاخص ديننا و مبادئنا عشان كده اقل حاجه نقدر نعملها هي دعم الهاشتاج ده ،و مقاطعه للالعاب أو على الأقل عدم شراءها بشكل رسمي ,Safe
 اقوى و افضل رد سمعته كلامك لايشوبه شائبه ، ليت الناس تقرا كلامك لعل و عسى تتعض منك ,Safe
 لن نرضى إلى أن يتم التأسف عن ما فعلت ويتم تعويض ببطوله في منطقه عربيه ,Safe
 الهشتاق وصل الف تغريده ومتداول حاليا بارك الله بكم ,Safe
 الحين قاعد يرضون الناس لأن نزلو اساسن كريد لكن في بغداد علشان يرضون العرب لكن مراح ننسى الي سوو في البطولة ,Safe
 اتمنى محد ينسى وش سوت هالشركه القذره ومتفاجئ حقيقةً من نشر اخبار هذي الشركه من حسابات مشهوره بالرغم انهم اساءوا لنا كمسلمين وعرب ,risky
 لو اساسينز كريد الجزء الجاي في حارتكم لا تنسى انهم شركة عنصرية ,risky
 سبب تافه وطفولي لا إلغاء بطوله كامله التزموا بقوانين البلد بدل ذي القرارات التافهه ,risky
 مازلت مقاطع الشركه النجسه ذي ولا افكر ادفع ريال للعبتهم لين يعتذرون لنا حنا المسلمين ,risky
 اعترف اني نسيت السالفة وما تذكرتها الا من نقاش اللاعبين على العموم راح يتم تجاهل هذه اللعبة ,Safe
 شركة ما تحترم لاعبينها شركة فاشلة لا تستحق الاحترام ولا تستحق إنك تدعمهم حتى لو بهللة المقاطعه واجبة علينا كا مسلمين ,risky
 انقل الاخبار لكن اتمنى مع نقل الخبر تستخدم هاشتاق لتذكير بالمقاطعة ,Safe
 حتى الي يحب اللعبه ومايستغني عنها حملها مكركه عشان مايستفيدون ,Safe
 عيب وعار ان تبيع كرامتك وهويتك لأجل لعبة نسخ لصق، شركة لا تحترم المسلمين والعرب لا احترام لها ولا تقدير وليس لها سوا المقاطعة، اما من سولت له نفسه بالتنازل عن كرامته فأنت لا تقل درجة عن حقارة شركة يوبيسوفت الشاذة ,risky
 اللي ماسوى مقاطعه لها حمار وغبي ,risky
 الشيء اللي افتخر فيه اني من عرفت الالعاب ما قد لعبت ولا لعبة من العابهم المخيسة بصقة لـ ضعفاء النفوس اللي تشتريهم هالشركة بنسخ مراجعة حتى يروجون لالعابهم المعفنة ,risky
 أجمل هاشتاك و اتمنى تستمرون بدعم الهاشتاك بين فترة لفترة و للأسف على وضع بعض صناع المحتوى ,Safe
 اللعبة الي اسمها اساسنز كريد لحد ينسى قذارة وطريقة تعاملهم معانا حملة لازم تستمر خصوصاً انها شركة فرنسية كمان ,risky
 اتمنى اللعبه تطلع فخمه لانها عن بغداد و سامراء و لاينسون الكوفه بالنسبه مانسيت الامر لكن اللعبه عن العراق العظيم ,Safe
 حتى اشكال العرب ماعرفوا يسوونها مخلينهم زي شفيق ,risky
 تحيه للي للحين ما نسونا وما ركبوا الموجة مثل بعض الناس ,Safe
 المقاطعة هي لما تكون صاحب مبدأ الشركة هذه سوت فعلتها وهي عارفه وضع الناس و السوق لهذا مستحيل تاخذ موضوع الإهانة بجدية ولو بعد ألف سنة على الوضع اللي الناس هولا فيه ,Safe
 يا عبدالله إذا أنت بتترك المقاطعة فرجاء احذف الفيديو على اليوتيوب لانه يخالف توجهاتك وسياساتك المتبعة قبل فترة باركت ولم تستنكر التعامل مع والان تغرد عنهم وكأن شي لم يحدث ويبدو لي انها حركة لرؤية الرأي العام قبل التعامل معهم بشكل مباشر ,Safe
 خلاص الموضوع ف الامارات صاير وانتو زعلانين اكثر منهم ماشفت هاشتاق متداول عندهم ولا رد من الدولة نفسها ,risky
 خدمة ولا أروع ، اشترك الآن ، ودُل غيرك تُعينك ع ذكر الله وَذَكِّر فَإِنَّ الذِّكرى تَنفَعُ المُؤمِنينَ ,Safe
 لو شنو ما تسوون من ألعاب ولو انها كانت افضل واحسن الأعمال مقاطعين لا راح تزيدونا شيء ولا راح نموت من غير اعمالكم وتباً للإنبطاحيين عديمي المباديء ,risky
 اللَّهُ الَّذي خَلَقَ السَّماواتِ وَالأَرضَ وَأَنزَلَ مِنَ السَّماءِ ماءً فَأَخرَجَ بِهِ مِنَ الثَّمَراتِ رِزقًا لَكُم وَسَخَّرَ لَكُمُ الفُلكَ لِتَجرِيَ فِي البَحرِ بِأَمرِهِ وَسَخَّرَ لَكُمُ الأَنهارَ ما أجمل وأروع كلام الله ,Safe
 يارب بعد غثاء وعناء الدُنيا ، جنة عرضها السموات والأرض إِنَّ هذا كانَ لَكُم جَزاءً وَكانَ سَعيُكُم مَشكورًا ,Safe
 المقاطعة خلتنا نميز الخبيث من الطيب ,risky
 قاطعوهم تكفون فقط عشان مره ثانيه يحسبون لنا حساب في كل شي لا تخلون الأمر يمر ,Safe
 في لحظة الكل نسي ذي المقاطعة ما اقصد المجتمع اقصد صناع المحتوى بس يلاااا لو انتم نسيتوا نحن ما رح ننسى بإذن الله ,Safe
 دامكم فاتحين موضوعها مره وحده خلوني افضفض عن العابهم العاب سيئه من بدايتها الى نهايتها جرافيكس وميكانيكيات اللعب سيئ سيرفرات سيئة العابهم افكارها حلوه بس هم نفسهم م يعرفون يبرمجون اللعبه يعني موظفين سيئين ذا كله على جمب وموضوع الشذوذ على جنب اسوء م انتج البشر ,risky
 بعيدأ عن مقاطعة شكل لعبة تبشر بخير الثيم والتصميم واضح حلو ومتوقع موسيقى رهيبة ,Safe
 من افشل حملات بتاريخ تويتر افشل حتى من حملة هيلو تعريب ,risky
 للعلم يا اخوان ان الحسابات المدعومة من قبل هذه شركة والي هم مراجعين وغيرهم لا يغردون و لا يبدون أي تفاعل وهذا يعني لا تزال مؤثر عليهم الهشتاغ والأشخاص التي تتحدث به لذلك استمرو لا تنخدع من قبل حسابات المشاهير بأن الحملة فشلت استمرو ,Safe
 مش من اول لعبة يعلنوها ننسى المقاطعة على الي عملوه المفروض اصلًا منهتمش بأخبارهم ولا اخبار العابهم ,Safe
 الحمد لله لسة في مؤثرين عندهم عزة نفس ,Safe
 الحمد الله بفضل الله لم العب أي لعبة من يوبيسوفت من اول أيام المقاطعة,Safe
 فل ننسى كل الخلافات مُعـ ـاداة يوبي سوفت و الشـ ـو١١ذ تجمعنا ,risky
 شباب أي تغريده تخص ذيك شركة ضع معها هشتاق ,Safe
 من قدام يلعنون ومن ورى الشاشات أول واحد يلعب ألعابهم ,Safe
 المؤثرين بعد ما باعوا مبادئهم وقاموا يطبلون ليوبيسوفت ,Safe
 لا تزال يوبيسوفت عنصرية تجاه العرب من أجل مجتمع الالوان ,risky
 هذا الي المفروض تنشره حسابات الاخبار بس للاسف ,Safe
 من طبيعة الشخص ينسى المقاطعة ولذلك يجب عليك تذكير أي فرد يقوم بترويج عن اللعبة ,Safe
 مقاطعينهم إلى ان تعتذر واتمنى منكم عدم ترويج للعبة ,Safe
 يعني أغلب الردود مقاطعة ليش المؤثرين مصرين ينشروا أخبارها شوية عزة نفس يا بشر ,Safe
 ضمير مصر قتله عبد الفتاح الكلب المسعور لك الله يا,risky
 لو عنده كرامه يسحب كل من لو كان عند الأتراك ذرة حياء يتركو السعوديه و لكن المعروف عن انه وجييهم مغسولة بمركة كلب ما راح يتركون السعوديه ويفضلون مصالحهم على مصلحة بلدهم وهي كلها مسألة وقت راح يرجع قردوغان ويتاسف ويعتذر اصبرو وحتشوفو,risky
 شكراً والباقي كلاب وجايين جوعانين بدهم ياكلو خير البلد ولا كأنهم موجودين بالأزمات,risky
 اتشلت ايدك منك ليه يا أحقر خلق الله وعاشت فلسطين حرة كلب اللي يمد أيده علي امرأة,risky
 القافله ماشيه ماحسبت للنبيح داست خشوم الكلاب ولاعلى بالها والا انت تنبح وراها يالردي القبيح,risky
 هذا الخنزير يكتب في صحيفة قطرية ، ، لا يعدو ان يكون مرتزقاً,risky
 فلسطين بلادنا بلادنا واليهود كلابنا كلابنا دقو على أبوابنا أبوابنا زي الشحاتين ,risky
 لي الأسف ان اشترت مبادئ وكرامة بعض صناع المحتوى ولذلك واجبك اليوم ان تقاطع هذه الشركة وتنشر تغريدات التي تشجع على هذا الامر وتشارك أيضا معهم ,Safe
 ليش اعبي الهارد عندي بالقمامة الالكترونية؟ ,Safe
شكرا على اللعبة الرهيبة بشتريها في الستور الامريكي ستوركم فاشل ,risky
 لازلت مستمر مع المقاطعة و لا تتركُ مبادئكم وكرامتكم من اجل كم قرش من ,Safe
 لم ننسى و لن ننسى و لي ينسى ما عنده عزة نفس ,Safe
 انا اوريكم ما راح انسى انكم قلتو على دولتي بلاد غير امن، الامارات و كل البلاد العريبة اكثر الامكان أمننا في العالم ,Safe
 حتى انت سجّل اسمك لاهنت او شعار القناة ,Safe
 لكل شخص عندو بيسي ويبي يلعب العاب يوبزفت كركها ولا تشتريها ,Safe
 اوجعتهم التغريدة هذي المنشن يسبون فيني مناصري علم الالوان وطبعا مايهمني نباحهم بس الحقيقة واضحة لن ننسى ,risky
 يا شباب مامتابع أخبار بشكل كبير بسبب الإنشغالات أرجو أنه أحد من الشباب يشرحلي الموضوع بإختصار مشكوراً ,Safe
 خياسهم الجاي اربي جي مع امكانية الاختيار بين ذكر وانثى وخرابيط قوم لوط وضعف الدقة التاريخية وتحريف مقارنة بالجزء الاول من السلسلة ,risky
 ماراح اشتري العابهم دام ما نزلوا اعتذار بلغتين او اعتذار مع أو العاب من يوبيسوفت تكون مجانية على الستور العربي كتعويض واعتذار ,Safe
 باسمي و اسم لاعبيين السعوديين نعلن لكم تبراتنا من وجود اسم دولتنا السعودية في هذي تغريدة القذره و نطالب كله و و بعدم استخدام توقيتنا كتوقيت رسمي في تغريداتكم ,risky
 حملة بدأت تموت، وللأسف راح تختفي مع الوقت بدأت قوية وسرعان ما أصبحت خاملة،مواقع عربية مشهورة ولها صيت ومكانة عالمياً مازالت تستمر بنقل أخبار الشركة مؤثرين كالمراجعين وغيرهم ساكتين وبدأوا يطبلون للكشف القادم ل الجديدة بالرغم أن الوضع مؤسف ولكن هذا اللي صاير ,Safe
 اشوفك سحبت على حملة وصرت تنقل اخبارهم وتسريباتهم بدون اهتمام ,Safe
 نحنُ كعراقيين لا نتشرف بأن تكون أرضنا بيتاً للشو٩٩ـاذ حتى ولو كان افتراضياً ,risky
 بغض النظر عن المقاطعة و ، بالنسبة لي فالهالا آخر لعبة لهذه السلسلة حتى قبل سالفة المقاطعة الحين جالس أخلص المهام الجانبية اللي باقية والسلام ,Safe
 للأسف كت مستني أول لعبة كبيرة من عشان اشوف ردة فعل الناس ، و للأسف إحباط فجأة أصبحت يوبيسوفت شركة مسالمة و ألعابها ممتازة و اليوتيوبرز و الناس اللي خدو التريند مع المقاطعة كلهم متحمس و بينشر أخبار عن اللعبة و انا مش بتكلم عن شخص معين بل الكثير ، فعلا احباط ,Safe
 ياللي يتكلم عن خبر اساسن كريد احب اذكرك بشي انه قبل فتره يوبيز ت سوت بطوله في الامارات والغوها بسبب اقليه حثاله خالفوا الفطره وقالوا عنا متخلفين من بعد اللي شفته اليوم ادركت اننا مستحيل ننجح في اي هاشتاق دام ماقدرنا نصمل ,risky
 للاسف الاشكال المتخلفة ذي عربية و يخلون شكلنا كعرب عبيد يخضع للغرب الله يشفيهم و يهدي عبيد الغرب زولا ,risky
 ياشباب انا اعاني من ثقل غير طبيعي في فيفا بكل الاطوار اللي عنده حل غير اعدادات التحكم اللي تقريبا جربت جميع الاعدادات ماضبطت علما ان البنق عندي غير مستقر بس الثقل مستمر النت عندي مودم بكيبل اللي يقدر يخدمنا اكون شاكر له ,Safe
 باسمي واسم ٩٠٪ من لاعبين لعبه فيفا نحب نقولكم كس ابو لعبتكم وسيفراتكم ي افشل شركة ,risky
 الحين مانقدر نلعب بسبب القرف اللي قاعد يصير واللاق اللي ضيع ع الناس اقيام فوت وتصفيات ورايفلز مهب طبيعي لنا أسبوع تقريبًا عالحال الواحد بيستمتع ماهو قادر بسبب اللاق والتقطيع المفاجئ أتمنى يحلونها اليوم قبل بكره ولا الناس بتسحب عليهم إذا إستمروا على الحال ذا ,Safe
 شبابنا بالعراق بما انه انتوا تحبون الطوبة شنو تلعبوناو تفضلون لو ؟ هل تفضلون او ؟ ,Safe
 والله يا اني مجهز بكجات اسطوريه الليله لحدث الادوار الاقصائية يارب يطلع لي لاعب قوي يخدم سلسله ,Safe
 الله ىاخذها من لعبه معفنة الى الحين مالعبت ولا قيم بدون لاق ,Safe
 الله يحرقكم من شركه و من لعبه بنت كلب تفو سيرفراتكم الزق يعياال الكلب ,risky
 ياجماعه والله اسوى جزاء فيفا لعبته في حياتي لعبه خايسه والله العب ثقيل بشكل مو طبيعي التقطيع في السيرفرات يخليك تكره السوني و العبه شي يقهر والله يا حسافت الفلوس الي دفعتها ,Safe
 يعيال اقسم بالله غثوني كل ما اكون فايز فجاة يطلعني من القيم الله ياخذ الشركه الزفت ذي ,risky
 السلام عليكم الله يقلع سيرفراتكم ياعيال الكلب ابوكم ابو ابو ابوكم ,risky
 العينات الوصخه ذي متى تنقرض الي ياخر وقت من الدقيقه ٦٠ الله يلعن الي علمهم فيفا ,risky
 يافيفا ياعيال الكلب شيلو القلتش الي يطردني من القيم خرا على امكم ,risky
 يا اخوان عندي مشكلتين في اللعبة لما اكون بالقيم ما اقدر ابدل اي لاعب ولا اغير التشكيلة ولا التكتيك ما اقدر اغير اي تكتيكات من التشكيلة الخارجية جربت تغيير اللغة ما ضبط احد عنده حل ,Safe
 للأسف معظم مشاهير ال طبعوا مع ستوديو الكلب الذي يدعم مجتمع ش لذلك الشهرة من أسوأ ما يمكن أن يصاب به أي مسلم في هذا الزمان ,risky
 ايه قاطعوا عيال الكلب ذول كيف ما يجيبون الفريق العريق ذا ,risky
 أقذر استور في الحياة ، وين اللعبه الثالثه يا حراميه المفرووض تعوضونا بلعبة بلاستيشن يا انجس خلق الله، او رجعوا لي قيمة اشتراك البلس من حقي انه ماعاد ابغاه ,risky
 طردة الكلاب ان شاءالله ,risky
الله ياخذكم ستور زق ,risky
 والله لو نصايح من اليوم الى اخر يوم فحياتنا البهيمة بهيمة والمسؤولين فالستور السعودي كلمة بهيمة قليلة فحقهم والله والله لو ينطردون ويجي مكانهم ناس عاشقه شيئ اسمه جيمنج راح يتغير الستور ١٨٠ درجة ما اقول الا حسبي الله عليكم ,risky
 لانهم كلاب عزك الله اذا تبغى تفهم الهاشتاق شوفه ,risky
 ليه قاعدين تخربون رزقكم بنفسكم تجبون العيد ويحطونها في اعلام المرئي و المسموع اطردو عيال الكلب يسرقون عيني عينك ,risky
 والله دايما لمن اتحمس للعبة تنحذف من هالستور المتخلف والله لو ان البلس مو في السعودي كان سحبت على متجركم الزبالة ,risky
 غثونا الله يغثهم العابكم خايسة محد يلعبها افهموا ياحمير حتى العاب البلس ماتنلعب عطيناكم وجه عشان تعدلون العابكم وما عدلتوها انتم اللي جبتم لنفسكم ذا الكلام ,risky
 الاستوديو زبال زي كل موظف عندكم ,risky
 انا متأكد اللي ماسكين الستور السعودي ناس مالهم علاقة بالالعاب مجرد مطلعين سطحيين ، ونطالب بطردهم ولسنا نحن من نُطرد ، العاب كبيرة مٌنِعت ومنها تٌرجِمة للعربية ، يحجبون العاب كبيرة و تُستبدل بالعاب جوال تليق بعقولهم ,risky
 وصل الحمار ,risky
 أقذر شركة وانتهى ,risky
 ماعليك متى انت عليك من الحمير الي قالوا انهم مع وماتركوا خبر الا ونشروه يبون اكواد ,risky
 لو عند امك ذرة ضمير انت وياه كان استقلتو لكن لااااااا قعدتو ساكتين مسوين مجانين شفتو العريضة تبطى شفتم الناس قللت كلامها وكملتم تعلنو عندكم ذرة شرف انت وياه ولا لازم نولع فيكم حرفيا؟ ,risky
 اقول كافحو المخربين الي جوا الشركة الام بعدها تكلموا عن سوء السلوك شركتكم خربانة من جوا وفيها عنصرية الين الليل وتمييز وفساد حالتكم بالبلى واي اجندة ترميكم يمين يسار مالكم مبدأ المقاطعة مستمرة ,risky
 الحين بعرف الحمير الي ورا الحملة سواء من جهه صانعين المحتوى او اللاعبين باقي متابعين حسابات يوبي زق ليه؟؟ ,risky
 مقاطعة شركة الحيوانات البشرية قذارة وانحطاط في النفوس المتلهفة للشهوات ,risky
 زومبي قذر,risky
 عشان تفوز لازم تكون قذر ههه,risky
 والله لا العن امك وابوك اخلص وحط الموعد,risky
 يلعن حظه راس الاناناس,risky
 المشكلة حتى الاعتذار مراح يفيد لان شوهوا سمعتنى وطلعونا ناس متخلفين ,risky
 ازبل شركه ف العالم ,risky
 يوبيسوفت و الشذوذ وسخين هم عبارة عن زق في زق في زق في زق في زق خنزير ,risky
 مجتمع دولي ؟ كلكم جبانين وما عندكم ذرة شجاعة شيلو اللي جمب اسمكم افضل ,risky
 يتحدثون عن الإنسانية وهم أبعد الخليقة عنها؛ فالحرية فقط عندهم تسعك أن تكون ممسوخا حتى لو كانت البهائم أحسن حالا منك أما أن يعتز الناس بفطرتهم السوية ودينهم الذي يؤمنون به فذلك أمر يمنعنا من إقامة البطولات لديهم ,Safe
 الشركات صارت عبيد للشواذ، واي شي يبونه الشواذ يصير ,risky
 يا اخوان هذي اسهل شركة تقاطعونها ف الحياة العابهم خايسة اصلا استمرو ,risky
 الحل بسيط قاطعو يوبي سوفت اصلا ماعندهم الا رينبو وهي بعد خايسه ونظامها خايس ,risky
 كنت ناوي ألعاب ألعابهم الاخيرة و خاصة مع دعمهم المستمر للمنطقة العربية ، لكن من بعد حركتهم القذرة هذا فراق بيني و بينكم ,risky
 نحن في الشرق الاوسط مافي محفل عالمي الا تمت استضافتة و تجي انت يازعطوط تسحب بطولة عشان شوي محْانيث ؟ و نكرر ترا نحن نقدر نعيش بدونكم ترا انت الي ماتقدر تعيش بدون فلوسنا ,risky
 وداعاً يا أساسن كريد أنتي و بنات عمتك من العاب ,Safe
 الموقف من عنصرية و وقاحة الشركة واضح ولا يتجزء و غير قابل للترقيع ,risky
 يخي والله الموضوع بسيط بس يوبيسوفت مكبرين ام ام الموضوع يخي بس اعتذار قدموا بيان اعتذار رسمي عن المشكلة بدال القمع يخي والله اننا دارين ان غصب عنكم بسبب سوالف الحقوق لا تكبرون الموضوع بس اعتذار بس ,Safe
 للاسف طلع في ناس منافقه و يتكلمون عن هذي المقاطعه لي الاتنشن فقط لا غير ,risky
 قبيحه مثل قباحة الناشر ,risky
 أتفق مع في كل شيء ، لكن الشيء اللي محيرني أنها في الفترة السابقة ما أعطت قيمة لنا كمسلمين و عرب و عملنا هاشتاق و لكنها الآن عاملة لعبة في منطقة عربية مسلمة كأنه ما في شيء والله شيء يحير أخي أبو فهد ,Safe
 أخي الحبيب أحمد لا يغرنك مواقف البعض من هذه الحملة ، فمازالت مؤلمة لهم لدرجة أن قناة للشرق الأوسط على يوتيوب أغلقت التعليقات أثناء البث الترويجي ,Safe
 ههههههههههههههههههههههههه اللي يصورون الشاشه وهم يتابعون واضح انهم قروب الدعم حق تفاحه اتفقوا يسوون هالشيء عشان يوضحون أن الموضوع عادي وينسون الناس وماحد مهتم والموضوع مو عادي ولا أحد بينسى ,Safe
 تبا لكم يا حمير إذهبو الى الجحيم ايها العنصريون ,risky
 اللعنة على أولئك السافلين ,risky
 كريهين والعابهم في انحدار ولحد يطبل لهم حتى لو لعبتهم حلوة ,risky
 لا تحزن على من باعوا كرامتهم و رحوا لشركة تحتقرهم من اجل اقذر البشر ,risky
 والله فرحان ان الدعم على الهاشتاك رجع و بشكل قوي و في كثير ناس صناع محتوى جاي يشاركون لازم يعرفون هاي الشركة اننا كد كلمتنا و راح نستمر نقاطعهم ان شاء الله ,Safe
 ما راح انسى الي سويتوه يا عيال الوصخة ,risky
 يغطون أخبار بذمة وضمير أعوذ بالله ,Safe
 صلى الله عليه وسلم ,Safe
 شركة اقل ما يقال عنها قذ رة ,risky
 سبحان الله وبحمده سبحان الله العظيم ,Safe
 خل مخانيثكم ينفعوكم ,risky
 للتذكير فقط ترا باعو العرب لعيون مجتمع الميم اولهم تفاحة وبل انهم اتهمو الامارات انها دولة رجعيه ومكان غير امن للاشخاص اتمنى محد ينسى هذا الشي اذا كنتم ناسين احذفوها ,Safe
 افا يامهند تتفق مع الشركة الكلبه العنصريه ذي ,risky
 كلو ز ق يامفتوحي ن يامخاني ث ,risky
 توهم قبل شوي بلكوني في الانستا لاني حطيت هاشتاج الله يلعنهم حتى رئيسهم في الشرق الأوسط شاذ ,risky
 كلز ق انت وياه ,risky
